"1 star","1  ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Manage Ratings","Beheer ratings"
"Please select one of each ratings above","Geef een score voor elk kenmerk hierboven a.u.b."
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Indien u geen kenmerk-titel opgeeft voor een winkel zal de standaard-waarde worden gebruikt"
"Rating with the same title","Kenmerk met dezelfde titel"
"Save Rating","Kenmerk opslaan"
"Delete Rating","Kenmerk verwijderen"
"Rating Name","Kenmerknaam"
"New Rating","Nieuw productkenmerk"
"Add New Rating","Nieuw productkenmerk toevoegen"
"Option Label","Optie-label"
"Option Title","Optietitel"
"Option Title:","Optietitel:"
"Edit Rating","Productkenmerk bewerken"
"Rating Information","Rating-gegevens"
"Be the first to review this product","Schrijf de eerste review van dit product"
"Default Value","Standaard-waarde"
"Rating Title","Titel kenmerk"
"Assigned Options","Toegewezen opties"
"Rating isn't Available","Waardering is niet beschikbaar"
"Rating Options","Waarderingsopties"
"Visible In","Zichtbaar in"
"Rating Visibility","Zichtbaarheid scores"
