"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"My Cart","Shoppingbag"
"Add to Cart","Klik hier en bestel"
"%s was added to your shopping cart.","%s zit nu in je shoppingbag!"
"There is <a href=""%s"">1 item</a> in your cart.","Je hebt <a href=""%s"">1 artikel</a> in je shoppingbag."
There are <a href="%s">%s items</a> in your cart.,"Er zitten <a href=""%s"">%s artikelen</a> in je winkelwagen."
"Cart Subtotal:","Subtotaal: "
"Recently added item(s)","Recent toegevoegd"
"Color","Kleuren"
"Most sold","Top 5"
"Address","Straat"
"Availability:","Beschikbaarheid:"
"You're reviewing:","Je bekijkt de review van:"
"Review by <span>%s</span>","Review door: %s"
"Apply Coupon","Code invoeren"
"Last Ordered Items","Laatst bestelde items"
"Search:","Zoeken:"
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">hier</a> om verder te winkelen."
"Please select a valid payment method.","Selecteer een betaalmethod aub."
"You are now logged out","Je bent nu uitgelogd"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Er is al een klant geregistreerd met behulp van dit e-mailadres. Gelieve in te loggen met behulp van dit e-mailadres of voer een ander e-mailadres om je account te registreren."
"Regular Price:","Van"
"Special Price:","Voor"
"Select an %s...","Selecteer een %s..."
