"Number of Responses","Aantal reacties"
"Votes Count","Aantal stemmen"
"Votes Count:","Aantal stemmen:"
"Actions","Acties"
"Answer was successfully saved","Antwoord is opgeslagen"
"Answer with the same title in this poll","Antwoord met dezelfde titel in deze poll"
"Save Answer","Antwoord opslaan"
"Add Answer","Antwoord toevoegen"
"Delete Answer","Antwoord verwijderen"
"Answer Title","Antwoordtitel"
"Answer Title:","Antwoordtitel:"
"Poll Manager","Beheer poll"
"Edit Answer '%s'","Bewerken antwoord ‘%s’"
"Edit Poll '%s'","Bewerken poll ‘%s’"
"Date Posted","Datum geplaatst"
"Date Closed","Datum gesloten"
"Closed","Gesloten"
"ID","ID"
"Unable to find answer to delete.","Kan geen antwoord vinden om te verwijderen"
"Disallow voting in a poll multiple times from same IP-address","Meerdere malen stemmen in een poll vanaf zelfde IP-adres niet toestaan."
"Add New Answer","Nieuw antwoord toevoegen"
"New Poll","Nieuwe poll"
"Add New Poll","Nieuwe poll toevoegen"
"Invalid Answer","Ongeldig antwoord"
"Open","Open"
"Community Poll","Peiling"
"Poll not exists","Poll bestaat niet"
"Poll with the same question","Poll met dezelfde vraag"
"Save Poll","Poll opslaan"
"Delete Poll","Poll verwijderen"
"Edit Poll Answer","Poll-antwoord bewerken"
"Poll Answers","Poll-antwoorden"
"Poll information","Poll-gegevens"
"Poll Information","Poll-gegevens"
"Poll Question","Poll-vraag"
"Status","Status"
"Vote","Stem"
"Assigned Answers","Toegewezen antwoorden"
"Delete","Verwijder"
"Are you sure you want to delete it?","Weet u zeker dat u het wilt verwijderen?"
"Visible In","Zichtbaar in"
