"profiles","profily"
"XML Url","XML Url"
"Export for search engine","Export produktů pro vyhledávač"
"Store View Name","Název Store View"
"Store View","Store View"
"Creation Time","Datum vytvoření"
"Action","Akce"
"Active","Aktivní"
"Generate NOW","Generuj TEĎ"
"Export for search engines","Export produktů pro vyhledávače"
"Profile Wizard","Průvodce tvorbou profilu"
"Export has been successfully generated","Export byl úspěšně proveden"
"New Profile","Nový profil"
"Back","Zpět"
"Reset","Reset"
"Select store","Vyberte Store"
"Store","Store"
"Continue","Pokračovat"
"Edit Profile","Editovat profil"
"Profile Information","Informace o profilu"
"Name","Jméno"
"Enabled","Povolen"
"Start time","Čas spuštění"
"Hour","Hodina"
"Minute","Minuta"
"Second","Sekunda"
"Frequency","Frekvence"
"XML File","XML soubor"
"Filename","Název souboru"
"It must be finished with .xml","Musí končit příponou .xml"
"Export information","Informace o exportu"
"Search engine","Vyhledávač"
"Centrum category","Centrum kategorie"
"Categories to export","Exportovat kategorie"
"Export has been generated on ","Export byl vygenerován "
"%. Please rerun generation process!","%. Spusťte prosím znovu exportní proces!"
"Unable to generate an export","Export nelze generovat"
"Unable to find an export to generate","Export pro generování nebyl nalezen"
"XML file doesnt exist","XML soubor neexistuje"
"Default (Admin) Values","Výchozí (Admin) hodnoty"
"Step","Krok"
"Type","Typ"
"View","Ukaž"
"per page","na stránku"
"Item was successfully saved","Profil byl úspěšně uložen"
"Profile Name","Název profilu"
"Last Time Generated","Naposledy generováno"
PHP Extension "%s" must be loaded,"PHP rozšíření ""%s"" musí být povoleno"
"Lovecnacene.si merchant name","Jméno obchodníka na Lovecnacene.si"
"https://docs.nostresscommerce.cz/en/wiki/export_en","https://docs.nostresscommerce.cz/cs/wiki/export"
"Export Profiles","Exportní profily"
"Export Profile Settings","Nastavení exportního profilu"
"Use store name in URL path","Přidat název obchodu do URL produktu"
"Use categories path for product URLs","Přidat cestu kategorie do URL produktu"
"General","Obecné"
"Automaticaly add new products to export profiles","Automaticky přidat nové produkty do exportních profilů"
