"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s is succesvol toegevoegd aan uw verlanglijst. Klik <a href=""%2$s"">hier</a> om verder te gaan met winkelen"
"%s's Wishlist","%s's verlanglijst"
"* Required Fields","* Verplichte velden"
"General Options","Algemene opties"
"Add All to Cart","Alles toevoegen aan winkelwagen"
"Remove Item","Artikel verwijderen"
"Message","Bericht"
"Share Your Wishlist","Deel uw verlanglijst"
"Share Wishlist","Deel verlanglijst"
"This product(s) is currently out of stock:","Dit product is momenteel niet in voorraad"
"Email Sender","E-mail afzender"
"Email Template","E-mail template"
"Email address can't be empty.","E-mailadres mag niet leeg zijn."
"Email addresses, separated by commas","E-mailadressen, gescheiden door komma’s"
"There was an error while deleting item from wishlist: %s","Fout opgetreden tijdens het verwijderen van artikel van verlanglijst: %s"
"There was an error while adding item to wishlist.","Fout tijdens het toevoegen van artikel aan verlanglijst"
"There was an error while adding item to wishlist: %s","Fout tijdens het toevoegen van artikel aan verlanglijst: %s"
"There was an error while deleting item from wishlist.","Fout tijdens het verwijderen van artikel van verlanglijst"
"Go to Wishlist","Ga naar verlanglijst"
"Add to Cart","In winkelwagen"
"Sharing Information","Informatie delen"
"Enabled","Ingeschakeld"
"Can't save description %s","Kan beschrijving '%s' niet opslaan"
"Cannot specify product","Kan product niet opgeven"
"Cannot create wishlist","Kan verlanglijst niet aanmaken"
"Last Added Items","Laatst toegevoegde artikelen"
"My Wishlist","Mijn verlanglijst"
"My Wishlist (%d item)","Mijn verlanglijst (%d artikel)"
"My Wishlist (%d items)","Mijn verlanglijst (%d artikelen)"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"Comment","Notitie"
"Share options","Opties voor delen"
"Are you sure you would like to remove this item from the wishlist?","Popular Weet u zeker dat u dit product van uw verlanglijst wilt verwijderen?"
"Product","Product"
"View Product","Product bekijken"
"RSS Feed","RSS feed"
"RSS link to %s's wishlist","RSS-link naar %s’s verlanglijst"
"Wishlist Section","Sectie Verlanglijst"
"Back","Terug"
"Added On","Toegevoegd op"
"You have no items in your wishlist.","U hebt niets op uw verlanglijst staan"
"You input not valid email address.","Uw invoer bevat geen geldig e-mail adres"
"Your Wishlist was successfully shared","Uw verlanglijst is succesvol gedeeld"
"Wishlist","Verlanglijst"
"Wishlist Sharing","Verlanglijst delen"
"Wishlist is empty now.","Verlanglijst is nu leeg"
"Update Wishlist","Verlanglijst updaten"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Vink het vakje aan om een link toe te voegen naar een RSS Feed van uw verlanglijst"
"Please, enter your comments...","Voeg uw notities toe aub."
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Voer geldige e-mailadressen in, gescheiden door komma’s. Bijvoorbeeld iemand@domein.com, iemandanders@domein.com."
"Are You sure?","Weet u het zeker?"
"Are you sure you want to remove this product from your wishlist?","Weet u zeker dat u dit product van uw verlanglijst wilt verwijderen?"
"Add to Wishlist","Zet op verlanglijst"
