"Account login","Account-login"
"Account password","Account-wachtwoord"
"Active","Actief"
"View Item in Google Base","Artikel in Google Base bekijken"
"Items","Artikelen"
"Edit Item Type ""%s""","Artikeltype ""%s"" bewerken"
"Edit Item Type","Artikeltype bewerken"
"Item type was successfully saved","Artikeltype is met succes opgeslagen"
"Item Type was deleted","Artikeltype is verwijderd"
"Item Types","Artikeltypes"
"Attributes","Attributen"
"Attributes mapping","Attributen toewijzen"
"Attributes Set","Attributen-set"
"Attribute Set and Item Type","Attributen-set en artikeltype"
"Attribute Set","Attributenset"
"Attribute","Attribuut"
"Add Attribute Mapping","Attribuut-toewijzing toevoegen"
"AuthSub","AuthSub"
"Manage Items","Beheer artikelen"
"Manage Attributes","Beheer attributen"
"Manage Attribute Mapping","Beheer attribuuttoewijzing"
"Available Products","Beschikbare producten"
"View Available Products","Beschikbare producten bekijken"
"Confirm","Bevestigen"
"British Pound Sterling","British Pound Sterling"
"Cannot update Google Base Item for Store '%s'","Cannot update Google Base Item for Store '%s'"
"Captcha confirmed successfully","Captcha met succes bevestigd"
"Clicks","Clicks"
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Deze procedure zal de artikelstatistieken updaten en de artikelen verwijderen die niet beschikbaar zijn in Google Base. Doorgaan?"
"Target Country","Doel-land"
"Germany","Duitsland"
"Total of %d items(s) were successfully removed from Google Base","Een totaal van %d artikelen is met succes verwijderd uit Google Base."
"Item model is not specified to delete Google Base entry","Er is geen artikelmodel gespecificeerd om het Google Base-record te verwijderen"
"Object model is not specified to save Google Base entry","Er is geen object-model gespecificeerd om Google Base-record op te slaan"
"No items were published","Er zijn geen artikelen gepubliceerd"
"No items were saved as Inactive items","Er zijn geen artikelen op geslagen als ""inactief"""
"No items were deleted from Google Base","Er zijn geen artikelen verwijderd uit Google Base"
"No products were added to Google Base","Er zijn geen producten toegevoegd aan Google Base"
"Euro","Euro"
"Captcha confirmation error: %s","Fout bij bevestiging captcha: %s"
"Error: %s","Fout: %s"
"Published","Gepubliceerd"
"Google Base","Google Base"
"Google Base Items","Google Base Items"
"Update Google Base item when product is updated","Google Base-artikelen updaten als product wordt ge&uuml;pdate"
"Google Base Item type","Google basis-artikeltype"
"Google Base Item Type","Google basis-artikeltype"
"Google Base Attribute","Google basis-attribuut"
"Google Base ID","Google basis-ID"
"Current Mapping will be reloaded. Continue?","Huidige toewijzing wordt opnieuw geladen. Doorgaan?"
"Impr.","Impr."
"Total of %d items(s) were successfully published","In totaal zijn %d artikelen met succes gepubliceerd"
"Total of %d items(s) were successfully deleted, Total of %d items(s) were successfully updated","In totaal zijn %d artikelen met succes verwijderd. Een totaal van %d artikelen is met succes ge&uuml;pdate."
"Total of %d items(s) were successfully saved as Inactive items","In totaal zijn %d artikelen opgeslagen als Inactief"
"Total of %d product(s) were successfully added to Google Base","In totaal zijn er %d artikelen toegevoegd aan Google Base"
"Yes","Ja"
"Unable to connect to Google Base. Please, check Account settings in configuration.","Kan niet verbinden met Google Base. Controleer uw account-instellingen in de configuratie."
"ClientLogin","Klant-login"
"No","Nee"
"New Item Type","Nieuw artikeltype"
"Add New Attribute","Nieuw attribuut toevoegen"
"Invalid Product Model for Google Base Item","Ongelding productmodel voor Google basisartikel"
"Page views","Pageviews"
"Product Name","Productnaam"
"Publish","Publiceren"
"Please, select Attribute Set and Google Item Type to load attributes","Selecteer attributen-set en Google artikeltype om attributen te laden"
"Default Store (%s)","Standaard-winkel (%s)"
"Synchronize","Synchroniseren"
"Custom attribute, no mapping","Toegevoegd attribuut, geen toewijzing"
"Add to Google Base","Toevoegen aan Google Base"
"Save Mapping","Toewijzing opslaan"
"Delete Mapping","Toewijzing verwijderen"
"US Dollar","US Dollar"
"Hide","Verbergen"
"United Kingdom","Verenigd Koninkrijk"
"United States","Verenigde Staten"
"Expires","Verloopt"
"Delete","Verwijder"
"Remove","Verwijderen"
"Are you sure?","Weet u het zeker?"
