"Qty","Aantal"
"Shipping Address","Afleveradres"
"Switch/Solo Only","Alleen Switch/Solo"
"Amex","Amex"
"API User Name","API gebruikersnaam"
"API Signature","API handtekening"
"API Password","API wachtwoord"
"Items in Your Shopping Cart","Artikelen in uw winkelwagen"
"Authorization","Authorisatie"
"Authorize and Capture","Authoriseer en Capture"
"Business Account","Bedrijfsaccount"
"Business Name","Bedrijfsnaam"
"Start Date","Begindatum"
"Discover","Bekijk"
"Order","Bestelling"
"Review Order","Bestelling bekijken"
"Billing Information","Betaalgegevens"
"Payment Method","Betaalwijze"
"Payment from applicable countries","Betaling van landen die van toepassing zijn."
"Payment from Specific countries","Betaling van specifieke landen."
"Payment Action","Betalingsactie"
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Credit Card Types","Credit Card Type"
"Credit Card Number","Creditcard Nummer"
"Credit Card Number: xxxx-%s","Creditcard-nummer: xxxx-%s"
"Credit Card Type","Creditcard-type"
"Credit Card Type: %s","Creditcard-type: %s"
"Debug Flag","Debug-vlag"
"There was an error connecting to the Paypal server: %s","Er is een fout bij het verbinden met de PayPal server: &S"
"There was an error during communication with Paypal: %s - %s","Er is een fout opgetreden bij de communicatie met PayPal: %s - %s"
"There has been an error processing your payment. Please try later or contact us for help.","Er is een fout opgetreden bij uw betaling. Probeer het later nog eens of neem contact met ons op."
"Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text.","Example: <b>https://www.paypal.com/au/cgi-bin/webscr?cmd=_express-checkout&useraction=<user_action>&amp;token=</b> Where &lt;user_action&gt; is 'commit' or 'continue', depending on your preference of commit button text."
"Invoice #%s created","Factuur #%s gemaakt"
"Error in creating an invoice","Fout bij aanmaken factuur"
"Error in refunding the payment","Fout bij terugboeken van betaling."
"Problem during communication with PayPal","Fout tijdens communicatie met PayPal"
"No shipping method required.","Geen verzendwijze nodig"
"Selected currency code (","Geselecteerde valutacode ("
"Incl. Tax","Incl. BTW"
"Enabled","Ingeschakeld"
"Received IPN verification","IPN-verificatie ontvangen"
"Card Verification Number","Kaart-verificatienummer"
"Customer returned from PayPal site.","Klant terug van PayPal-site."
"MasterCard","Mastercard"
"Maximum image size is 750x90 px.","Maximale afbeeldingsgroote is 750x90 px"
"N/A","N/B"
"Name on the Card: %s","Naam op de kaart: %s"
"Name on Card","Naam op kaart"
"Unknown PayPal API error: %s","Onbekende PayPal API fout: %s"
"Invalid transaction id","Ongeldige transactie id"
"You will be redirected to Paypal in a few seconds.","Over een paar seconden wordt u doorgestuurd naar PayPal."
"Page Style","Paginastijl"
"PayPal Accounts","PayPal Accounts"
"Paypal Checkout","PayPal Afrekenen"
"PayPal Email","PayPal e-mail"
"PayPal Express Checkout","PayPal Express Checkout"
"Paypal IPN Invalid %s.","PayPal IPN ongeldig %s"
"PayPal Uk Account","PayPal UK Account"
"Paypal URL","PayPal URL"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Betalingen Pro - Directe Betalingen"
"PayPal Website Payments Standard","PayPal Website Betalingen Standaard"
"Place an Order","Plaats een bestelling"
"Price","Prijs"
"Product Name","Productnaam"
"Use Proxy","Proxy Gebruiken"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sandbox Flag","SandBox Flag"
"Please select a valid shipping method","Selecteer een geldige verzendwijze"
"Please select a shipping method...","Selecteer een verzendwijze"
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"Sort order","Sorteer volgorde"
"New order status","Status nieuwe bestelling"
"Subtotal","Subtotaal"
"Switch/Solo card issue number: %s","Switch/Solo card nummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kaart begindatum: %s/%s"
"Title","Titel"
"Order total amount does not match paypal gross total amount","Totaal bestelling klopt niet met totaal van PayPal"
"Transaction Type","Transactietype"
"Type","Type"
"Issue Number","Uitgave-nummer"
"Paypal Logo Image URL","URL PayPal-logo"
"Your billing address will be ignored and you will be redirected to PayPal UK website","Uw factuuradres zal worden genegeerd en u wordt doorgestuurd naar de PayPal UK website"
"Sale","Verkoop"
"Expiration Date","Vervaldatum"
"Expiration Date: %s/%s","Vervaldatum: %s/%s"
"Shipping Information","Verzendgegevens"
"Shipping Method","Verzendwijze"
"Update Shipping Method","Verzendwijze updaten"
"Visa","Visa"
"What is this?","Wat is dit?"
"Website Payments Pro and Express Checkout (API Signature)","Website betalingen Pro en Express Checkout (API Handtekening)"
"Website Payments Standard","Website Payments Standard"
"Change Shipping Address","Wijzigen"
"Change Payment Method","Wijzigen"
"Edit Shopping Cart","Winkelwagen bewerken"
