"%d Review(s)","%d review(s)"
"%s Review(s)","%s review(s)"
"(Posted on %s)","(Geplaatst op %s)"
"1 star","1  ster"
"2 stars","2 sterren"
"3 stars","3 sterren"
"4 stars","4 sterren"
"5 stars","5 sterren"
"Created On","Aangemaakt op"
"Qty","Aantal"
"Administrator","Admin"
"All Reviews","Alle reviews"
"View All Reviews","Alle reviews bekijken"
"All reviews of customer `%s`","Alle reviews van klant '%s'"
"SKU","Artikelnummer"
"Product SKU","Artikelnummer"
"Manage Ratings","Beheer ratings"
"Your review has been accepted for moderation","Dank voor uw bijdrage. Uw review is geaccepteerd voor controle op taalgebruik."
"View Details","Details bekijken"
"Review Details","Details review"
"Guest","Gast"
"Detailed Rating","Gedetailleerde waardering"
"Average Customer Rating","Gemiddelde klantenwaardering"
"Average Customer Rating:","Gemiddelde klantenwaardering:"
"Posted By","Geplaatst door"
"How do you rate this product?","Hoe waardeert u dit product?"
"ID","ID"
"Customer","Klant"
"Customer Reviews","Klantenreviews"
"Unable to post review. Please, try again later.","Kon review niet plaatsen. Probeer later opnieuw."
"My Product Reviews","Mijn productreviews"
"My Recent Reviews","Mijn recente reviews"
"Name","Naam"
"Name In Store","Naam in winkel"
"New Review","Nieuwe review"
"Add New Review","Nieuwe review toevoegen"
"OR","OR"
"Price","Prijs"
"Product","Product"
"Product Reviews","Product-reviews"
"Product Name","Productnaam"
"Product Review (submitted on %s):","Productreview (ingestuurd op %s):"
"Product Rating","Productwaardering"
"Product Rating:","Productwaardering:"
"Review","Review"
"Review by %s","Review door %s"
"Save Review","Review opslaan"
"Submit Review","Review versturen"
"Delete Review","Review verwijderen"
"Edit Review '%s'","Review wijzigen: ‘%s’"
"Allow guests to write reviews","Reviews  van gasten toestaan"
"Reviews and Ratings","Reviews en ratings"
"Summary of Review","Samenvatting van review"
"Summary of review","Samenvatting van review"
"Summary of Your Review","Samenvatting van uw review"
"Summary Rating","Samenvatting waardering"
"Nickname","Schermnaam"
"Be the first to review this product","Schrijf de eerste review van dit product"
"Write Your Own Review","Schrijf uw eigen review"
"Please select a product","Selecteer een product aub"
"Please select one of each of the ratings above","Selecteer een van de waarderingen hierboven"
"Status","Status"
"Update status","Status updaten"
"Pending reviews","Te modereren reviews"
"Pending Reviews","Te modereren reviews"
"Pending reviews of customer `%s`","Te modereren reviews van klant '%s'"
"Back","Terug"
"Back to My Reviews","Terug naar mijn reviews"
"Back to Main Product Info","Terug naar productpagina"
"Back to Product Reviews","Terug naar productreviews"
"Title","Titel"
"Type","Type"
"You have submitted no reviews.","U hebt geen reviews verstuurd."
"You're reviewing: %s","U werkt aan review: %s"
"Your Review (submitted on %s):","Uw review (verstuurd op %s):"
"Add Your Review","Uw review toevoegen"
"Your Rating:","Uw waardering:"
"Delete","Verwijder"
"Rating:","Waardering:"
"Websites","Websites"
"Are you sure?","Weet u het zeker?"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt?"
"Visible In","Zichtbaar in"
